DATE,CSCICP03FRM665S
1973-01-01,106.280828872117
1973-02-01,106.145718082121
1973-03-01,105.967097594492
1973-04-01,105.793058803963
1973-05-01,105.666271533418
1973-06-01,105.522379672572
1973-07-01,105.316788448525
1973-08-01,105.168556286603
1973-09-01,105.014699730718
1973-10-01,104.758425605293
1973-11-01,104.422987571143
1973-12-01,103.856673947215
1974-01-01,103.068245744741
1974-02-01,102.517607139316
1974-03-01,102.250374762322
1974-04-01,102.172873154498
1974-05-01,102.0437239911
1974-06-01,101.826990841563
1974-07-01,101.545685181057
1974-08-01,101.222856388184
1974-09-01,100.887254253635
1974-10-01,100.620514621224
1974-11-01,100.617118370593
1974-12-01,100.899844745932
1975-01-01,101.323167606618
1975-02-01,101.56617220371
1975-03-01,101.536161774803
1975-04-01,101.40129609877
1975-05-01,101.34495877283
1975-06-01,101.42497973674
1975-07-01,101.629972598731
1975-08-01,101.799313671598
1975-09-01,101.969435414399
1975-10-01,102.204485359586
1975-11-01,102.426204370202
1975-12-01,102.730162998387
1976-01-01,103.164042474754
1976-02-01,103.423676080209
1976-03-01,103.521742276958
1976-04-01,103.528131103046
1976-05-01,103.471877975617
1976-06-01,103.334774864818
1976-07-01,103.107623421232
1976-08-01,102.927338086675
1976-09-01,102.752811234098
1976-10-01,102.545198502139
1976-11-01,102.442445647706
1976-12-01,102.415614974247
1977-01-01,102.371638186181
1977-02-01,102.180147062361
1977-03-01,101.717450244133
1977-04-01,101.058024359167
1977-05-01,100.661567687831
1977-06-01,100.654210288945
1977-07-01,100.949327519275
1977-08-01,101.254897432417
1977-09-01,101.605313003998
1977-10-01,102.055812218533
1977-11-01,102.332062497845
1977-12-01,102.482234093904
1978-01-01,102.600749809512
1978-02-01,102.678113402248
1978-03-01,102.758037020701
1978-04-01,102.860077611731
1978-05-01,102.899713302023
1978-06-01,102.861945958894
1978-07-01,102.761665500004
1978-08-01,102.681417236482
1978-09-01,102.596039179977
1978-10-01,102.452910306179
1978-11-01,102.257328611321
1978-12-01,101.939996834139
