,0
Yearly excess returns,-0.32311951988004606
Yearly standard deviation,0.10079614726478485
Max DD,242.41074383133252
Yearly Sharpe,-3.2056733183584125
Yearly Calmar,-0.0013329422399894538
Yearly Sortino,-3.5593914772647954
Daily Turnover,0.07621716676764691
